GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JwtValidatorVertx,0,11,0,0,0,2,0,1,0,1
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JsonWebKeySetStaticHandler,0,14,0,0,0,2,0,2,0,2
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JWK,11,367,4,34,2,76,4,31,0,14
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,DiscoveryData,0,82,0,0,0,19,0,16,0,16
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JsonWebKeySetOpenIdDiscoveryHandler,0,8,0,0,0,1,0,1,0,1
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JWT,4,461,1,73,1,106,1,66,0,30
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JsonWebAlgorithm,0,267,0,0,0,31,0,8,0,8
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,JWKSOpenIdDiscoveryHandlerImpl,54,523,8,46,11,109,8,38,0,19
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,AsyncLoadingCache,14,191,1,13,4,46,2,14,1,8
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,AsyncLoadingCache.Data,0,40,0,2,0,11,0,3,0,2
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,JWKSStaticSetHandlerImpl,1,151,3,13,1,35,3,12,0,7
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,JWKSOpenIdDiscoveryHandlerImpl.TimedJsonObject,0,9,0,0,0,4,0,1,0,1
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,JwtValidatorVertxImpl,64,384,11,33,16,91,13,25,2,14
