GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,IssuerAcceptabilityHandler,0,7,0,0,0,1,0,1,0,1
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JsonWebKeySetKnownJwksHandler,0,7,0,0,0,1,0,1,0,1
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JwkBuilder,5,49,1,3,1,9,1,4,0,3
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JwtValidator,0,26,0,0,0,6,0,3,0,3
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,AlgorithmAndKeyPair,0,20,0,0,0,9,0,4,0,4
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,DiscoveryData,0,76,0,0,0,17,0,15,0,15
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JsonWebKeySetOpenIdDiscoveryHandler,0,7,0,0,0,1,0,1,0,1
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,Jwt,4,441,1,71,1,102,1,63,0,28
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx,JsonWebAlgorithm,3,264,0,0,1,30,1,7,1,7
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,RSAJwkBuilder,0,76,0,2,0,20,0,5,0,4
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,AsyncLoadingCache.TimedObject,0,24,0,2,0,7,0,5,0,4
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,AsyncLoadingCache,39,168,2,12,10,40,4,13,2,8
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,AbstractTokenBuilder,24,308,4,30,5,81,3,31,0,17
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,ECJwkBuilder,9,152,1,7,2,37,1,10,0,6
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,EdECJwkBuilder,0,80,0,2,0,21,0,5,0,4
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,JWKSOpenIdDiscoveryHandlerImpl,60,272,5,17,11,61,5,19,0,13
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,JWKSStaticSetHandlerImpl,51,253,3,15,8,65,3,17,0,11
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,AsyncLoadingCache.Data,0,36,0,2,0,11,0,3,0,2
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,IssuerAcceptabilityHandlerImpl,5,242,6,28,2,69,6,18,0,7
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,JwtValidatorVertxImpl,50,573,11,49,12,118,12,37,1,18
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.impl,OpenIdHelper,0,190,2,16,0,34,2,13,0,6
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.jdk,JdkTokenBuilder,9,111,2,6,3,25,2,8,0,6
JWT Validator - Vertx,uk.co.spudsoft.jwtvalidatorvertx.jdk,JdkJwksHandler,6,206,0,3,2,56,0,14,0,12
